# Parámetros:  ./calcular_cdt 16 3 HEA DES 100
# Ejecutando orden:  ./gen_traza HEA DES 100
#
#         Posición       Intervalo        Páginas       Págs/op.
#
               0               3               2        0.666667
               3               3               2        0.666667
               6               3               2        0.666667
               9               3               2        0.666667
              12               3               3        1.000000
              15               3               2        0.666667
              18               3               2        0.666667
              21               3               2        0.666667
              24               3               2        0.666667
              27               3               2        0.666667
              30               3               2        0.666667
              33               3               2        0.666667
              36               3               2        0.666667
              39               3               2        0.666667
              42               3               2        0.666667
              45               3               2        0.666667
              48               3               2        0.666667
              51               3               2        0.666667
              54               3               2        0.666667
              57               3               2        0.666667
              60               3               2        0.666667
              63               3               2        0.666667
              66               3               2        0.666667
              69               3               3        1.000000
              72               3               2        0.666667
              75               3               2        0.666667
              78               3               2        0.666667
              81               3               2        0.666667
              84               3               2        0.666667
              87               3               2        0.666667
              90               3               2        0.666667
              93               3               2        0.666667
              96               3               2        0.666667
              99               3               2        0.666667
             102               3               2        0.666667
             105               3               2        0.666667
             108               3               2        0.666667
             111               3               2        0.666667
             114               3               2        0.666667
             117               3               2        0.666667
             120               3               2        0.666667
             123               3               3        1.000000
             126               3               3        1.000000
             129               3               2        0.666667
             132               3               2        0.666667
             135               3               2        0.666667
             138               3               2        0.666667
             141               3               2        0.666667
             144               3               2        0.666667
             147               3               2        0.666667
             150               3               2        0.666667
             153               3               2        0.666667
             156               3               2        0.666667
             159               3               2        0.666667
             162               3               2        0.666667
             165               3               2        0.666667
             168               3               2        0.666667
             171               3               2        0.666667
             174               3               2        0.666667
             177               3               3        1.000000
             180               3               3        1.000000
             183               3               2        0.666667
             186               3               3        1.000000
             189               3               3        1.000000
             192               3               3        1.000000
             195               3               2        0.666667
             198               3               2        0.666667
             201               3               2        0.666667
             204               3               3        1.000000
             207               3               2        0.666667
             210               3               2        0.666667
             213               3               2        0.666667
             216               3               3        1.000000
             219               3               2        0.666667
             222               3               2        0.666667
             225               3               2        0.666667
             228               3               3        1.000000
             231               3               2        0.666667
             234               3               2        0.666667
             237               3               3        1.000000
             240               3               3        1.000000
             243               3               2        0.666667
             246               3               2        0.666667
             249               3               2        0.666667
             252               3               3        1.000000
             255               3               2        0.666667
             258               3               2        0.666667
             261               3               2        0.666667
             264               3               3        1.000000
             267               3               2        0.666667
             270               3               2        0.666667
             273               3               2        0.666667
             276               3               3        1.000000
             279               3               3        1.000000
             282               3               3        1.000000
             285               3               3        1.000000
             288               3               3        1.000000
             291               3               2        0.666667
             294               3               2        0.666667
             297               3               2        0.666667
             300               3               3        1.000000
             303               3               2        0.666667
             306               3               2        0.666667
             309               3               2        0.666667
             312               3               3        1.000000
             315               3               2        0.666667
             318               3               2        0.666667
             321               3               2        0.666667
             324               3               3        1.000000
             327               3               2        0.666667
             330               3               2        0.666667
             333               3               3        1.000000
             336               3               3        1.000000
             339               3               3        1.000000
             342               3               3        1.000000
             345               3               2        0.666667
             348               3               3        1.000000
             351               3               3        1.000000
             354               3               2        0.666667
             357               3               3        1.000000
             360               3               2        0.666667
             363               3               2        0.666667
             366               3               2        0.666667
             369               3               3        1.000000
             372               3               2        0.666667
             375               3               3        1.000000
